UBO,gbXML,gbXML_geometryPath,IFC,IFC_geometryPath
,velocityUnitEnum ,IfcAngularVelocityMeasure-IfcLinearVelocityMeasure,,
,versionEnum ,null,,
,viscosityFofTUnitEnum ,IfcDynamicViscosityMeasure,,
,viscosityUnitEnum ,IfcKinematicViscosityMeasure,,
,volumeUnitEnum ,IfcVolumeMeasure,,
,wallASHRAEGroupEnum ,IfcStructuralLoadCase,,
,wallColorEnum ,IfcWall-IfcWallType-Pset_RoofCommon,,
,wallCTSTypeEnum ,IfcWallTypeEnum-IfcWallType,,
,wallGroupManualJEnum ,IfcWall-IfcGroup-IfcStructuralLoadGroup,,
,waterUseUnitEnum ,Pset_MaterialWater-Pset_FlowMeterTypeWaterMeter-IfcVolumetricFlowRateMeasure ,,
,weightUnitEnum ,IfcMassMeasure-IfcQuantityWeight,,
,windSpeedEnum ,Pset_OutsideDesignCriteria,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
